Word: 心理医生, LLR Score: 5.1691, Frequency: 175
Word: 重度, LLR Score: 5.0744, Frequency: 474
Word: 病友, LLR Score: 4.7988, Frequency: 121
Word: 树洞, LLR Score: 4.6848, Frequency: 108
Word: 犯病, LLR Score: 4.6661, Frequency: 106
Word: 差劲, LLR Score: 4.6661, Frequency: 106
Word: 噩梦, LLR Score: 4.6251, Frequency: 203
Word: 胸闷, LLR Score: 4.4681, Frequency: 87
Word: 副作用, LLR Score: 4.4210, Frequency: 248
Word: 正常人, LLR Score: 4.3753, Frequency: 237
Word: 麻木, LLR Score: 4.3606, Frequency: 156
Word: 暴食, LLR Score: 4.3326, Frequency: 76
Word: 服药, LLR Score: 4.2212, Frequency: 68
Word: 挂号, LLR Score: 4.1913, Frequency: 66
Word: 断药, LLR Score: 4.1605, Frequency: 64
Word: 患者, LLR Score: 4.1547, Frequency: 812
Word: 记忆力, LLR Score: 4.1542, Frequency: 127
Word: 病情, LLR Score: 4.0531, Frequency: 172
Word: 焦虑症, LLR Score: 3.9991, Frequency: 163
Word: 头痛, LLR Score: 3.9729, Frequency: 106
Word: 天上飞, LLR Score: 3.9716, Frequency: 53
Word: 老天爷, LLR Score: 3.9525, Frequency: 52
Word: 伤疤, LLR Score: 3.8724, Frequency: 48
Word: 手腕, LLR Score: 3.8298, Frequency: 46
Word: 遗书, LLR Score: 3.7853, Frequency: 44
Word: 热线, LLR Score: 3.7623, Frequency: 43
Word: 心理咨询, LLR Score: 3.7072, Frequency: 243
Word: 恶心, LLR Score: 3.6780, Frequency: 508
Word: 药物, LLR Score: 3.6665, Frequency: 272
Word: 药, LLR Score: 3.6530, Frequency: 1126
Word: 紫砂, LLR Score: 3.6385, Frequency: 38
Word: 不太想, LLR Score: 3.5562, Frequency: 35
Word: 原生, LLR Score: 3.5443, Frequency: 138
Word: 废人, LLR Score: 3.5272, Frequency: 34
Word: 疯子, LLR Score: 3.4989, Frequency: 99
Word: 换药, LLR Score: 3.4981, Frequency: 66
Word: 失业, LLR Score: 3.4973, Frequency: 33
Word: 病态, LLR Score: 3.4665, Frequency: 32
Word: 门诊, LLR Score: 3.4515, Frequency: 63
Word: 废物, LLR Score: 3.4359, Frequency: 247
Word: 恐惧症, LLR Score: 3.4347, Frequency: 31
Word: 车祸, LLR Score: 3.4347, Frequency: 31
Word: 辅导员, LLR Score: 3.4347, Frequency: 31
Word: 住院, LLR Score: 3.4244, Frequency: 335
Word: 责备, LLR Score: 3.4019, Frequency: 30
Word: 班主任, LLR Score: 3.3872, Frequency: 118
Word: 买药, LLR Score: 3.3680, Frequency: 29
Word: 太苦, LLR Score: 3.3680, Frequency: 29
Word: 情绪低落, LLR Score: 3.3222, Frequency: 83
Word: 易怒, LLR Score: 3.2965, Frequency: 27
Word: 外公, LLR Score: 3.2587, Frequency: 26
Word: 谢谢你们, LLR Score: 3.2587, Frequency: 26
Word: 药会, LLR Score: 3.2587, Frequency: 26
Word: 指指点点, LLR Score: 3.2195, Frequency: 25
Word: 脑科, LLR Score: 3.2195, Frequency: 25
Word: 家暴, LLR Score: 3.1786, Frequency: 24
Word: 医嘱, LLR Score: 3.1786, Frequency: 24
Word: 医生, LLR Score: 3.1413, Frequency: 1473
Word: 孤儿, LLR Score: 3.1360, Frequency: 23
Word: 头晕, LLR Score: 3.1242, Frequency: 136
Word: 黑狗, LLR Score: 3.1077, Frequency: 67
Word: 无表情, LLR Score: 3.0916, Frequency: 22
Word: 尸体, LLR Score: 3.0916, Frequency: 22
Word: 自卑, LLR Score: 3.0801, Frequency: 238
Word: 病, LLR Score: 3.0692, Frequency: 823
Word: 小丑, LLR Score: 3.0450, Frequency: 21
Word: 交际, LLR Score: 3.0450, Frequency: 21
Word: 伤口, LLR Score: 3.0374, Frequency: 104
Word: 怪物, LLR Score: 2.9967, Frequency: 40
Word: 变差, LLR Score: 2.9962, Frequency: 20
Word: 异类, LLR Score: 2.9962, Frequency: 20
Word: 躯壳, LLR Score: 2.9449, Frequency: 19
Word: 体温, LLR Score: 2.9449, Frequency: 19
Word: 爸, LLR Score: 2.9211, Frequency: 368
Word: 学历, LLR Score: 2.9186, Frequency: 37
Word: 爸妈, LLR Score: 2.9146, Frequency: 438
Word: 极端, LLR Score: 2.9100, Frequency: 55
Word: 病人, LLR Score: 2.9059, Frequency: 73
Word: 障碍, LLR Score: 2.9001, Frequency: 217
Word: 医院, LLR Score: 2.8937, Frequency: 1414
Word: 疤痕, LLR Score: 2.8912, Frequency: 36
Word: 心率, LLR Score: 2.8908, Frequency: 18
Word: 嘴脸, LLR Score: 2.8908, Frequency: 18
Word: 单子, LLR Score: 2.8908, Frequency: 18
Word: 社交, LLR Score: 2.8883, Frequency: 250
Word: 生病, LLR Score: 2.8787, Frequency: 475
Word: 气短, LLR Score: 2.8336, Frequency: 17
Word: 空洞, LLR Score: 2.8336, Frequency: 17
Word: 楼顶, LLR Score: 2.8336, Frequency: 17
Word: 全部都是, LLR Score: 2.8336, Frequency: 17
Word: 中药, LLR Score: 2.8049, Frequency: 66
Word: 面具, LLR Score: 2.8041, Frequency: 33
Word: 杀人, LLR Score: 2.8041, Frequency: 33
Word: 症状, LLR Score: 2.7988, Frequency: 326
Word: 霸凌, LLR Score: 2.7741, Frequency: 64
Word: 情绪化, LLR Score: 2.7730, Frequency: 16
Word: 备忘录, LLR Score: 2.7730, Frequency: 16
Word: 屋子里, LLR Score: 2.7730, Frequency: 16
Word: 通话, LLR Score: 2.7730, Frequency: 16
Word: 傻事, LLR Score: 2.7730, Frequency: 16
