Word: 人, Count: 9567, Percentage: 1.04%
Word: 感觉, Count: 3880, Percentage: 0.42%
Word: 时候, Count: 3693, Percentage: 0.40%
Word: 情绪, Count: 2065, Percentage: 0.23%
Word: 朋友, Count: 2058, Percentage: 0.22%
Word: 大家, Count: 1923, Percentage: 0.21%
Word: 世界, Count: 1913, Percentage: 0.21%
Word: 饭, Count: 1718, Percentage: 0.19%
Word: 事, Count: 1602, Percentage: 0.17%
Word: 医生, Count: 1473, Percentage: 0.16%
Word: 事情, Count: 1433, Percentage: 0.16%
Word: 医院, Count: 1414, Percentage: 0.15%
Word: 妈妈, Count: 1382, Percentage: 0.15%
Word: 妈, Count: 1274, Percentage: 0.14%
Word: 东西, Count: 1150, Percentage: 0.13%
Word: 药, Count: 1126, Percentage: 0.12%
Word: 父母, Count: 1100, Percentage: 0.12%
Word: 学校, Count: 1072, Percentage: 0.12%
Word: 问题, Count: 878, Percentage: 0.10%
Word: 有点, Count: 858, Percentage: 0.09%
Word: 病, Count: 823, Percentage: 0.09%
Word: 患者, Count: 812, Percentage: 0.09%
Word: 时间, Count: 804, Percentage: 0.09%
Word: 心情, Count: 788, Percentage: 0.09%
Word: 状态, Count: 715, Percentage: 0.08%
Word: 人生, Count: 698, Percentage: 0.08%
Word: 话, Count: 696, Percentage: 0.08%
Word: 办法, Count: 677, Percentage: 0.07%
Word: 我会, Count: 659, Percentage: 0.07%
Word: 结果, Count: 642, Percentage: 0.07%
Word: 钱, Count: 635, Percentage: 0.07%
Word: 地方, Count: 608, Percentage: 0.07%
Word: 孩子, Count: 608, Percentage: 0.07%
Word: 身体, Count: 575, Percentage: 0.06%
Word: 家人, Count: 555, Percentage: 0.06%
Word: 回家, Count: 552, Percentage: 0.06%
Word: 无法, Count: 544, Percentage: 0.06%
Word: 心理, Count: 528, Percentage: 0.06%
Word: 梦, Count: 518, Percentage: 0.06%
Word: 意义, Count: 516, Percentage: 0.06%
Word: 恶心, Count: 508, Percentage: 0.06%
Word: 老师, Count: 497, Percentage: 0.05%
Word: 精神, Count: 493, Percentage: 0.05%
Word: 样子, Count: 486, Percentage: 0.05%
Word: 生病, Count: 475, Percentage: 0.05%
Word: 重度, Count: 474, Percentage: 0.05%
Word: 小时, Count: 470, Percentage: 0.05%
Word: 情况, Count: 468, Percentage: 0.05%
Word: 上学, Count: 466, Percentage: 0.05%
Word: 手机, Count: 448, Percentage: 0.05%
Word: 啊啊啊, Count: 446, Percentage: 0.05%
Word: 爸妈, Count: 438, Percentage: 0.05%
Word: 活, Count: 434, Percentage: 0.05%
Word: 家庭, Count: 429, Percentage: 0.05%
Word: 经历, Count: 427, Percentage: 0.05%
Word: 错, Count: 392, Percentage: 0.04%
Word: 原因, Count: 391, Percentage: 0.04%
Word: 明白, Count: 388, Percentage: 0.04%
Word: 压力, Count: 388, Percentage: 0.04%
Word: 休学, Count: 387, Percentage: 0.04%
Word: 所有人, Count: 378, Percentage: 0.04%
Word: 日子, Count: 375, Percentage: 0.04%
Word: 眼泪, Count: 375, Percentage: 0.04%
Word: 聊天, Count: 375, Percentage: 0.04%
