Word: 是, Count: 15803, Percentage: 1.72%
Word: 想, Count: 11047, Percentage: 1.20%
Word: 有, Count: 8117, Percentage: 0.88%
Word: 会, Count: 7885, Percentage: 0.86%
Word: 说, Count: 7666, Percentage: 0.84%
Word: 没有, Count: 6856, Percentage: 0.75%
Word: 去, Count: 6149, Percentage: 0.67%
Word: 要, Count: 5482, Percentage: 0.60%
Word: 知道, Count: 5335, Percentage: 0.58%
Word: 让, Count: 3909, Percentage: 0.43%
Word: 不想, Count: 3880, Percentage: 0.42%
Word: 能, Count: 3822, Percentage: 0.42%
Word: 觉得, Count: 3703, Percentage: 0.40%
Word: 死, Count: 3607, Percentage: 0.39%
Word: 做, Count: 3496, Percentage: 0.38%
Word: 到, Count: 3473, Percentage: 0.38%
Word: 吃, Count: 3034, Percentage: 0.33%
Word: 哭, Count: 2690, Percentage: 0.29%
Word: 没, Count: 2488, Percentage: 0.27%
Word: 看, Count: 2250, Percentage: 0.25%
Word: 来, Count: 2166, Percentage: 0.24%
Word: 开心, Count: 2160, Percentage: 0.24%
Word: 不会, Count: 2145, Percentage: 0.23%
Word: 希望, Count: 2137, Percentage: 0.23%
Word: 难受, Count: 2002, Percentage: 0.22%
Word: 喜欢, Count: 1957, Percentage: 0.21%
Word: 活着, Count: 1900, Percentage: 0.21%
Word: 开始, Count: 1850, Percentage: 0.20%
Word: 难过, Count: 1795, Percentage: 0.20%
Word: 好像, Count: 1759, Percentage: 0.19%
Word: 爱, Count: 1700, Percentage: 0.19%
Word: 不能, Count: 1697, Percentage: 0.18%
Word: 生活, Count: 1680, Percentage: 0.18%
Word: 找, Count: 1549, Percentage: 0.17%
Word: 可能, Count: 1508, Percentage: 0.16%
Word: 走, Count: 1505, Percentage: 0.16%
Word: 讨厌, Count: 1378, Percentage: 0.15%
Word: 可, Count: 1339, Percentage: 0.15%
Word: 像, Count: 1302, Percentage: 0.14%
Word: 害怕, Count: 1295, Percentage: 0.14%
Word: 起来, Count: 1288, Percentage: 0.14%
Word: 工作, Count: 1240, Percentage: 0.14%
Word: 睡, Count: 1172, Percentage: 0.13%
Word: 出来, Count: 1155, Percentage: 0.13%
Word: 吃药, Count: 1151, Percentage: 0.13%
Word: 还有, Count: 1127, Percentage: 0.12%
Word: 有没有, Count: 1113, Percentage: 0.12%
Word: 看到, Count: 1112, Percentage: 0.12%
Word: 怕, Count: 1026, Percentage: 0.11%
Word: 崩溃, Count: 991, Percentage: 0.11%
Word: 应该, Count: 943, Percentage: 0.10%
Word: 问, Count: 939, Percentage: 0.10%
Word: 离开, Count: 933, Percentage: 0.10%
Word: 不到, Count: 906, Percentage: 0.10%
Word: 睡不着, Count: 893, Percentage: 0.10%
Word: 需要, Count: 874, Percentage: 0.10%
Word: 说话, Count: 863, Percentage: 0.09%
Word: 告诉, Count: 859, Percentage: 0.09%
Word: 不了, Count: 827, Percentage: 0.09%
Word: 理解, Count: 827, Percentage: 0.09%
Word: 想要, Count: 820, Percentage: 0.09%
Word: 发现, Count: 804, Percentage: 0.09%
Word: 听, Count: 768, Percentage: 0.08%
Word: 睡觉, Count: 763, Percentage: 0.08%
Word: 失眠, Count: 717, Percentage: 0.08%
Word: 坚持, Count: 712, Percentage: 0.08%
Word: 控制, Count: 709, Percentage: 0.08%
Word: 笑, Count: 708, Percentage: 0.08%
Word: 累, Count: 699, Percentage: 0.08%
Word: 只能, Count: 682, Percentage: 0.07%
Word: 骂, Count: 647, Percentage: 0.07%
Word: 完, Count: 617, Percentage: 0.07%
Word: 活, Count: 580, Percentage: 0.06%
Word: 感受, Count: 562, Percentage: 0.06%
Word: 陪, Count: 562, Percentage: 0.06%
Word: 才能, Count: 555, Percentage: 0.06%
Word: 疼, Count: 548, Percentage: 0.06%
Word: 不住, Count: 548, Percentage: 0.06%
Word: 打, Count: 529, Percentage: 0.06%
Word: 自杀, Count: 514, Percentage: 0.06%
Word: 带, Count: 510, Percentage: 0.06%
Word: 买, Count: 503, Percentage: 0.05%
Word: 看看, Count: 496, Percentage: 0.05%
Word: 超话, Count: 496, Percentage: 0.05%
Word: 治疗, Count: 484, Percentage: 0.05%
Word: 开, Count: 475, Percentage: 0.05%
Word: 想到, Count: 473, Percentage: 0.05%
Word: 拿, Count: 473, Percentage: 0.05%
Word: 上班, Count: 470, Percentage: 0.05%
Word: 玩, Count: 468, Percentage: 0.05%
Word: 写, Count: 459, Percentage: 0.05%
Word: 想法, Count: 459, Percentage: 0.05%
Word: 不用, Count: 458, Percentage: 0.05%
Word: 走饭, Count: 454, Percentage: 0.05%
Word: 选择, Count: 454, Percentage: 0.05%
Word: 回来, Count: 452, Percentage: 0.05%
Word: 安慰, Count: 449, Percentage: 0.05%
Word: 吃饭, Count: 442, Percentage: 0.05%
Word: 绝望, Count: 441, Percentage: 0.05%
Word: 愿意, Count: 437, Percentage: 0.05%
Word: 回, Count: 436, Percentage: 0.05%
Word: 不行, Count: 436, Percentage: 0.05%
Word: 出去, Count: 434, Percentage: 0.05%
Word: 变成, Count: 432, Percentage: 0.05%
Word: 出, Count: 425, Percentage: 0.05%
Word: 继续, Count: 423, Percentage: 0.05%
Word: 结束, Count: 413, Percentage: 0.05%
Word: 加油, Count: 413, Percentage: 0.05%
Word: 存在, Count: 412, Percentage: 0.04%
Word: 面对, Count: 406, Percentage: 0.04%
Word: 懂, Count: 406, Percentage: 0.04%
Word: 恨, Count: 405, Percentage: 0.04%
Word: 发, Count: 402, Percentage: 0.04%
Word: 看着, Count: 398, Percentage: 0.04%
Word: 相信, Count: 395, Percentage: 0.04%
Word: 请, Count: 385, Percentage: 0.04%
Word: 躺, Count: 383, Percentage: 0.04%
Word: 放弃, Count: 380, Percentage: 0.04%
Word: 变得, Count: 377, Percentage: 0.04%
Word: 遇到, Count: 377, Percentage: 0.04%
Word: 醒, Count: 372, Percentage: 0.04%
Word: 确诊, Count: 372, Percentage: 0.04%
Word: 接受, Count: 364, Percentage: 0.04%
Word: 想着, Count: 360, Percentage: 0.04%
Word: 死亡, Count: 359, Percentage: 0.04%
Word: 睡着, Count: 355, Percentage: 0.04%
Word: 出现, Count: 354, Percentage: 0.04%
Word: 影响, Count: 353, Percentage: 0.04%
Word: 掉, Count: 353, Percentage: 0.04%
Word: 没用, Count: 351, Percentage: 0.04%
Word: 认识, Count: 348, Percentage: 0.04%
Word: 叫, Count: 346, Percentage: 0.04%
Word: 发生, Count: 343, Percentage: 0.04%
Word: 记得, Count: 343, Percentage: 0.04%
Word: 干, Count: 342, Percentage: 0.04%
Word: 住, Count: 340, Percentage: 0.04%
Word: 看见, Count: 339, Percentage: 0.04%
Word: 检查, Count: 339, Percentage: 0.04%
Word: 折磨, Count: 336, Percentage: 0.04%
Word: 担心, Count: 333, Percentage: 0.04%
Word: 生命, Count: 330, Percentage: 0.04%
Word: 逼, Count: 309, Percentage: 0.03%
Word: 见, Count: 299, Percentage: 0.03%
Word: 找到, Count: 295, Percentage: 0.03%
Word: 得到, Count: 295, Percentage: 0.03%
Word: 改变, Count: 292, Percentage: 0.03%
Word: 分享, Count: 290, Percentage: 0.03%
Word: 吐, Count: 289, Percentage: 0.03%
Word: 就算, Count: 289, Percentage: 0.03%
Word: 成为, Count: 289, Percentage: 0.03%
Word: 期待, Count: 287, Percentage: 0.03%
Word: 解脱, Count: 286, Percentage: 0.03%
Word: 回到, Count: 282, Percentage: 0.03%
Word: 讲, Count: 279, Percentage: 0.03%
Word: 生, Count: 278, Percentage: 0.03%
Word: 变, Count: 277, Percentage: 0.03%
Word: 帮, Count: 277, Percentage: 0.03%
Word: 准备, Count: 275, Percentage: 0.03%
Word: 出门, Count: 274, Percentage: 0.03%
Word: 烦, Count: 273, Percentage: 0.03%
Word: 疯, Count: 273, Percentage: 0.03%
Word: 失去, Count: 273, Percentage: 0.03%
Word: 羡慕, Count: 272, Percentage: 0.03%
Word: 考试, Count: 272, Percentage: 0.03%
Word: 花, Count: 270, Percentage: 0.03%
Word: 压抑, Count: 269, Percentage: 0.03%
Word: 要死, Count: 269, Percentage: 0.03%
Word: 好累, Count: 268, Percentage: 0.03%
Word: 帮助, Count: 268, Percentage: 0.03%
Word: 醒来, Count: 266, Percentage: 0.03%
Word: 发作, Count: 262, Percentage: 0.03%
Word: 感到, Count: 259, Percentage: 0.03%
Word: 睡眠, Count: 257, Percentage: 0.03%
Word: 听到, Count: 251, Percentage: 0.03%
Word: 认为, Count: 249, Percentage: 0.03%
Word: 推荐, Count: 249, Percentage: 0.03%
Word: 拉, Count: 248, Percentage: 0.03%
Word: 不让, Count: 247, Percentage: 0.03%
Word: 喘, Count: 247, Percentage: 0.03%
Word: 自残, Count: 247, Percentage: 0.03%
Word: 吵架, Count: 245, Percentage: 0.03%
Word: 忘记, Count: 244, Percentage: 0.03%
Word: 站, Count: 244, Percentage: 0.03%
Word: 想想, Count: 240, Percentage: 0.03%
Word: 还好, Count: 238, Percentage: 0.03%
Word: 失败, Count: 237, Percentage: 0.03%
Word: 抖, Count: 237, Percentage: 0.03%
Word: 停药, Count: 235, Percentage: 0.03%
Word: 倾诉, Count: 234, Percentage: 0.03%
Word: 实在, Count: 233, Percentage: 0.03%
Word: 回去, Count: 232, Percentage: 0.03%
Word: 委屈, Count: 231, Percentage: 0.03%
Word: 值得, Count: 230, Percentage: 0.03%
Word: 装, Count: 230, Percentage: 0.03%
Word: 决定, Count: 229, Percentage: 0.02%
Word: 待, Count: 226, Percentage: 0.02%
Word: 养, Count: 226, Percentage: 0.02%
Word: 高考, Count: 225, Percentage: 0.02%
Word: 导致, Count: 225, Percentage: 0.02%
Word: 反应, Count: 223, Percentage: 0.02%
