Word: 大熊猫, LLR Score: 6.0078, Frequency: 797
Word: 叶, LLR Score: 5.9118, Frequency: 366
Word: 口感, LLR Score: 5.4569, Frequency: 233
Word: 景区, LLR Score: 5.1222, Frequency: 167
Word: 食材, LLR Score: 5.0248, Frequency: 302
Word: 美食, LLR Score: 4.8841, Frequency: 2364
Word: 立夏, LLR Score: 4.8552, Frequency: 128
Word: 星, LLR Score: 4.8494, Frequency: 1357
Word: 芝士, LLR Score: 4.8314, Frequency: 125
Word: 礼, LLR Score: 4.8152, Frequency: 123
Word: 酱, LLR Score: 4.8071, Frequency: 122
Word: 罐子, LLR Score: 4.7565, Frequency: 116
Word: 花叶, LLR Score: 4.7478, Frequency: 115
Word: 淄博, LLR Score: 4.7032, Frequency: 110
Word: 特色, LLR Score: 4.6755, Frequency: 107
Word: 淀粉, LLR Score: 4.6076, Frequency: 100
Word: 牛肉, LLR Score: 4.5743, Frequency: 193
Word: 属性, LLR Score: 4.5705, Frequency: 665
Word: 语录, LLR Score: 4.5634, Frequency: 753
Word: 番茄, LLR Score: 4.5562, Frequency: 95
Word: 图源, LLR Score: 4.5456, Frequency: 94
Word: 排骨, LLR Score: 4.4908, Frequency: 89
Word: 盐, LLR Score: 4.4586, Frequency: 172
Word: 熊猫, LLR Score: 4.4528, Frequency: 171
Word: 柚子, LLR Score: 4.3734, Frequency: 158
Word: 午餐, LLR Score: 4.3714, Frequency: 79
Word: 库存, LLR Score: 4.2644, Frequency: 71
Word: 口味, LLR Score: 4.2392, Frequency: 207
Word: 海鲜, LLR Score: 4.2358, Frequency: 69
Word: 香甜, LLR Score: 4.2358, Frequency: 69
Word: 棉花, LLR Score: 4.2104, Frequency: 532
Word: 韶关, LLR Score: 4.1913, Frequency: 66
Word: 家常菜, LLR Score: 4.1760, Frequency: 65
Word: 市场, LLR Score: 4.1760, Frequency: 65
Word: 克, LLR Score: 4.1302, Frequency: 124
Word: 麻薯, LLR Score: 4.1287, Frequency: 62
Word: 花花, LLR Score: 4.1226, Frequency: 1314
Word: 收, LLR Score: 4.1221, Frequency: 123
Word: 小火, LLR Score: 4.0790, Frequency: 59
Word: 糯米, LLR Score: 4.0790, Frequency: 59
Word: 参观, LLR Score: 4.0619, Frequency: 58
Word: 团子, LLR Score: 4.0619, Frequency: 58
Word: 早安, LLR Score: 4.0468, Frequency: 1167
Word: 冰箱, LLR Score: 4.0459, Frequency: 114
Word: 汤汁, LLR Score: 4.0445, Frequency: 57
Word: 美味, LLR Score: 4.0323, Frequency: 280
Word: 黄油, LLR Score: 4.0267, Frequency: 56
Word: 书店, LLR Score: 4.0267, Frequency: 56
Word: 徐州, LLR Score: 4.0235, Frequency: 167
Word: 清水, LLR Score: 4.0087, Frequency: 55
Word: 肥, LLR Score: 3.9930, Frequency: 162
Word: 入口, LLR Score: 3.9903, Frequency: 54
Word: 姐弟, LLR Score: 3.9903, Frequency: 54
Word: 洛阳, LLR Score: 3.9716, Frequency: 53
Word: 芋泥, LLR Score: 3.9538, Frequency: 104
Word: 调料, LLR Score: 3.9525, Frequency: 52
Word: 风景区, LLR Score: 3.9331, Frequency: 51
Word: 郑州大学, LLR Score: 3.9269, Frequency: 202
Word: 罐头, LLR Score: 3.9132, Frequency: 50
Word: 奶猫, LLR Score: 3.9132, Frequency: 50
Word: 蓝莓, LLR Score: 3.9132, Frequency: 50
Word: 葡萄酒, LLR Score: 3.9132, Frequency: 50
Word: 桂林, LLR Score: 3.8930, Frequency: 49
Word: 骨架, LLR Score: 3.8631, Frequency: 95
Word: 甜品, LLR Score: 3.8516, Frequency: 234
Word: 造型, LLR Score: 3.8513, Frequency: 47
Word: 牛排, LLR Score: 3.8298, Frequency: 46
Word: 出镜, LLR Score: 3.8078, Frequency: 45
Word: 江南, LLR Score: 3.7977, Frequency: 89
Word: 油管, LLR Score: 3.7853, Frequency: 44
Word: 爆浆, LLR Score: 3.7623, Frequency: 43
Word: 音乐节, LLR Score: 3.7623, Frequency: 43
Word: 大理, LLR Score: 3.7565, Frequency: 128
Word: 频道, LLR Score: 3.7397, Frequency: 84
Word: 素材, LLR Score: 3.7387, Frequency: 42
Word: 时尚, LLR Score: 3.7387, Frequency: 42
Word: 干饭, LLR Score: 3.7277, Frequency: 83
Word: 官, LLR Score: 3.7156, Frequency: 82
Word: 高温, LLR Score: 3.7146, Frequency: 41
Word: 娃, LLR Score: 3.6918, Frequency: 120
Word: 西装, LLR Score: 3.6899, Frequency: 40
Word: 科技, LLR Score: 3.6899, Frequency: 40
Word: 名胜区, LLR Score: 3.6899, Frequency: 40
Word: 小龙虾, LLR Score: 3.6782, Frequency: 79
Word: 质感, LLR Score: 3.6645, Frequency: 39
Word: 背影, LLR Score: 3.6645, Frequency: 39
Word: 调味, LLR Score: 3.6645, Frequency: 39
Word: 睡觉觉, LLR Score: 3.6645, Frequency: 39
Word: 娃娃, LLR Score: 3.6594, Frequency: 837
Word: 米粉, LLR Score: 3.6385, Frequency: 38
Word: 建筑, LLR Score: 3.6262, Frequency: 75
Word: 威海, LLR Score: 3.6118, Frequency: 37
Word: 紫米, LLR Score: 3.6118, Frequency: 37
Word: 烤肠, LLR Score: 3.6118, Frequency: 37
Word: 花生, LLR Score: 3.6118, Frequency: 37
Word: 香味, LLR Score: 3.5991, Frequency: 73
Word: 香菇, LLR Score: 3.5844, Frequency: 36
Word: 订单, LLR Score: 3.5844, Frequency: 36
Word: 南瓜, LLR Score: 3.5844, Frequency: 36
Word: 博物馆, LLR Score: 3.5768, Frequency: 107
