word,information_gain,percentage_suicide,percentage_non_suicide
心理医生,0.0018684745957402438,99.37%,0.63%
重度,0.004885847500257556,99.28%,0.72%
病友,0.0012365268064060686,99.07%,0.93%
树洞,0.0011377525495059881,98.99%,1.01%
差劲,0.0011007456412064354,98.96%,1.04%
犯病,0.001174778230649931,99.02%,0.98%
噩梦,0.0018211684629717562,98.76%,1.24%
胸闷,0.0009652327132599892,98.82%,1.18%
副作用,0.0027024549802037168,99.56%,0.44%
正常人,0.002444481602621562,98.62%,1.38%
麻木,0.0016973819330740048,98.09%,1.91%
暴食,0.0013209618590639405,97.62%,2.38%
服药,0.0005328558599467792,96.36%,3.64%
挂号,0.0005328558599467792,96.36%,3.64%
断药,0.0009037418114504758,98.75%,1.25%
患者,0.0067196722122013774,98.36%,1.64%
记忆力,0.0013180815164586246,98.33%,1.67%
病情,0.001604938201974826,97.42%,2.58%
焦虑症,0.0018457918578416166,98.77%,1.23%
头痛,0.001183805281374295,98.17%,1.83%
天上飞,0.0005611672983825144,98.08%,1.92%
老天爷,0.0004883375751302266,97.83%,2.17%
伤疤,0.0004883375751302266,97.83%,2.17%
手腕,0.0005004555474171779,97.87%,2.13%
遗书,0.00042789016573463456,97.56%,2.44%
热线,0.0001784372880713203,95.00%,5.00%
心理咨询,0.0021383859472674516,97.99%,2.01%
恶心,0.00451106025102177,97.07%,2.93%
药物,0.002443418825787691,98.21%,1.79%
药,0.02485084736668064,94.03%,5.97%
紫砂,0.00032231193689680193,94.59%,5.41%
不太想,0.00036772542132257335,97.22%,2.78%
原生,0.0012060393773076772,93.79%,6.21%
废人,0.00033179578530417864,96.97%,3.03%
疯子,0.0008120005353263737,94.62%,5.38%
换药,0.0005820027755619739,95.31%,4.69%
失业,0.0002841383077748505,96.55%,3.45%
病态,0.0003198525503642635,96.88%,3.12%
门诊,0.0004034596928359502,95.45%,4.55%
废物,0.0022181805142909017,96.48%,3.52%
恐惧症,0.0003198525503642635,96.88%,3.12%
车祸,0.00034537673767831567,94.87%,5.13%
辅导员,0.0002250898804274648,95.83%,4.17%
住院,0.002556471004730887,94.81%,5.19%
责备,0.00021336935240634514,95.65%,4.35%
班主任,0.0008657966056797584,95.70%,4.30%
买药,0.0002841383077748505,96.55%,3.45%
太苦,0.000272276528269777,96.43%,3.57%
情绪低落,0.0007935804620801123,96.34%,3.66%
易怒,0.000272276528269777,96.43%,3.57%
外公,0.0001900393994349603,95.24%,4.76%
谢谢你们,0.000201684724976392,95.45%,4.55%
药会,0.0005368595084390693,98.00%,2.00%
脑科,0.0001784372880713203,95.00%,5.00%
指指点点,0.0002486270932928747,96.15%,3.85%
医嘱,0.0001900393994349603,95.24%,4.76%
家暴,0.0002250898804274648,95.83%,4.17%
医生,0.011659404056915457,96.11%,3.89%
孤儿,0.00021336935240634514,95.65%,4.35%
头晕,0.0013903170526124997,95.39%,4.61%
黑狗,0.0005355311928350037,95.00%,5.00%
无表情,0.00021336935240634514,95.65%,4.35%
尸体,0.00021336935240634514,95.65%,4.35%
自卑,0.0021065927795038686,95.26%,4.74%
病,0.021381635231712104,93.15%,6.85%
小丑,0.0002250898804274648,95.83%,4.17%
交际,0.0002250898804274648,95.83%,4.17%
伤口,0.0008350670064573018,94.74%,5.26%
怪物,0.00034537673767831567,94.87%,5.13%
变差,0.0001900393994349603,95.24%,4.76%
异类,0.0001900393994349603,95.24%,4.76%
体温,0.0001325640823636176,93.75%,6.25%
躯壳,0.0001784372880713203,95.00%,5.00%
爸,0.006082434063812148,85.23%,14.77%
学历,0.00033383103708184425,94.74%,5.26%
爸妈,0.004530816594867537,93.10%,6.90%
极端,0.0005355311928350037,95.00%,5.00%
病人,0.0004949558312387081,92.31%,7.69%
障碍,0.00204164211913771,94.81%,5.19%
医院,0.008513665056317676,90.18%,9.82%
疤痕,0.0003108209244491178,94.44%,5.56%
单子,0.0001325640823636176,93.75%,6.25%
心率,0.00011178897091512763,88.89%,11.11%
嘴脸,0.0001784372880713203,95.00%,5.00%
社交,0.0021186433107890368,94.02%,5.98%
生病,0.0036556623919430375,94.00%,6.00%
空洞,0.00016688292196886945,94.74%,5.26%
全部都是,0.00015538158883587894,94.44%,5.56%
气短,0.0001222284352211389,89.47%,10.53%
楼顶,0.00015538158883587894,94.44%,5.56%
中药,0.0004289911387621581,91.53%,8.47%
杀人,0.00039179962166246973,95.35%,4.65%
面具,0.0003108209244491178,94.44%,5.56%
症状,0.002699339067022133,95.55%,4.45%
霸凌,0.0006103968740417409,94.37%,5.63%
耳光,0.00011178897091512763,88.89%,11.11%
备忘录,5.214761347538399e-05,80.00%,20.00%
屋子里,0.0001325640823636176,93.75%,6.25%
傻事,0.00015538158883587894,94.44%,5.56%
核酸,0.00012126417633873121,93.33%,6.67%
通话,5.465082400879506e-05,76.19%,23.81%
施暴者,0.00011005057599799972,92.86%,7.14%
太闲,0.0001325640823636176,93.75%,6.25%
情绪化,0.00014393951149838102,94.12%,5.88%
左耳,0.00016688292196886945,94.74%,5.26%
地想,0.0001991915980366077,90.00%,10.00%
眼泪,0.003514946172324618,93.65%,6.35%
脑子里,0.0015142366338736224,93.51%,6.49%
负,0.0007325813562200079,63.70%,36.30%
亲戚,0.0008367034202625412,91.38%,8.62%
同龄人,0.00025384923830307216,93.55%,6.45%
号,0.000114387790199455,44.15%,55.85%
危机,1.8873991103229848e-05,75.00%,25.00%
症,0.02796709644100248,97.03%,2.97%
力气,0.0017186565783846586,91.81%,8.19%
辛,0.00016436790239238164,60.71%,39.29%
康复,0.0009937621807478703,93.44%,6.56%
出院,0.0004205652696295248,94.00%,6.00%
无力,0.0016864276701024083,92.63%,7.37%
孝顺,0.00023132689088656289,93.10%,6.90%
投胎,0.0001868687239527933,92.00%,8.00%
毕业证,8.129310805571333e-05,86.67%,13.33%
科室,8.7938745200411e-05,91.67%,8.33%
经常性,0.00011005057599799972,92.86%,7.14%
原以为,0.00012126417633873121,93.33%,6.67%
网暴,8.129310805571333e-05,86.67%,13.33%
