word,information_gain,percentage_suicide,percentage_non_suicide
自杀,0.005491348933069018,99.56%,0.44%
发病,0.00206732313848379,99.43%,0.57%
死去,0.0019430160587954326,99.39%,0.61%
复发,0.001955442840415933,99.39%,0.61%
跳下去,0.0013477864191283606,99.14%,0.86%
确诊,0.003952849496657196,99.12%,0.88%
想吐,0.0022882446680532187,97.70%,2.30%
吃药,0.011457902517017948,99.08%,0.92%
退学,0.0010391121272909087,98.90%,1.10%
发泄,0.0019690023131812007,98.84%,1.16%
难受,0.02011016792834508,98.33%,1.67%
想死,0.01090265453501682,99.66%,0.34%
活到,0.0009599081195199588,93.28%,6.72%
止不住,0.0007197738638998752,98.46%,1.54%
捅,0.0012814248552506236,98.29%,1.71%
抽烟,0.0005490097537791394,98.04%,1.96%
割腕,0.0006830911520666616,98.39%,1.61%
心悸,0.0005976810826853196,98.18%,1.82%
发作,0.002518294635391105,98.66%,1.34%
幻听,0.0005368595084390693,98.00%,2.00%
活该,0.000649619587000716,92.77%,7.23%
倾诉,0.0023731824917061495,97.77%,2.23%
难听,0.0004883375751302266,97.83%,2.17%
请假,0.001604938201974826,97.42%,2.58%
好累,0.011197286127171524,96.92%,3.08%
就诊,0.0004620395495980034,95.92%,4.08%
劳,0.00010538175902941038,40.82%,59.18%
没睡,0.0012481072303186513,90.61%,9.39%
开导,0.0006399082234346265,96.88%,3.12%
累好,0.001665287421697914,97.50%,2.50%
患有,0.00034375633138283845,97.06%,2.94%
干呕,0.0003557331831335331,97.14%,2.86%
排斥,0.0003797322033609607,97.30%,2.70%
痊愈,0.001013503048965303,97.89%,2.11%
离婚,0.0005565674976553137,96.49%,3.51%
失眠,0.006361361037762414,96.58%,3.42%
毁灭,0.000651853828704474,96.92%,3.08%
诊断,0.0011472512279792069,98.11%,1.89%
晕倒,0.0003079277293980276,96.77%,3.23%
跳楼,0.0009601672633361424,96.88%,3.12%
杀死,0.0005078629998187534,93.55%,6.45%
睡不着,0.008163193323575069,96.40%,3.60%
难过,0.014627081454407942,95.89%,4.11%
提不起,0.0009482226502386393,96.84%,3.16%
戒断,0.00029602253560290226,96.67%,3.33%
该不该,0.00029602253560290226,96.67%,3.33%
治病,0.00029602253560290226,96.67%,3.33%
谈恋爱,0.0008072806554138001,95.45%,4.55%
复查,0.0013273118885402946,96.35%,3.65%
减退,0.0002486270932928747,96.15%,3.85%
诅咒,0.00029602253560290226,96.67%,3.33%
就医,0.00026043884429338693,96.30%,3.70%
发抖,0.0015415388562947108,96.77%,3.23%
撑不住,0.001232850600439539,96.77%,3.23%
要钱,0.00033383103708184425,94.74%,5.26%
无助,0.0015884669711603294,96.34%,3.66%
低落,0.002028187936325865,96.21%,3.79%
压抑,0.0026226294732010214,96.31%,3.69%
安慰,0.003832377735293324,95.63%,4.37%
解脱,0.0027420673329849876,96.15%,3.85%
抽血,0.0002250898804274648,95.83%,4.17%
褪黑素,0.00026043884429338693,96.30%,3.70%
得病,0.0005328558599467792,96.36%,3.64%
崩溃,0.008735990013049144,95.96%,4.04%
排挤,0.00023684333343199082,96.00%,4.00%
喘,0.002660135287887222,92.67%,7.33%
要死,0.0030646473794818663,95.98%,4.02%
没劲,0.0002250898804274648,95.83%,4.17%
治好,0.0004949558312387081,92.31%,7.69%
自闭,0.00025384923830307216,93.55%,6.45%
