word,information_gain,percentage_suicide,percentage_non_suicide
大熊猫,0.00855778537772145,0.29%,99.71%
叶,0.007779921783909738,5.25%,94.75%
口感,0.0023394522941797558,0.99%,99.01%
景区,0.0021047005509985395,1.09%,98.91%
食材,0.002215844598394301,1.04%,98.96%
美食,0.031784497196158834,0.76%,99.24%
立夏,0.0012447943649682713,1.75%,98.25%
星,0.013712171949695762,13.92%,86.08%
芝士,0.0012118217096834805,0.95%,99.05%
礼,0.0023791984913420494,21.04%,78.96%
酱,0.004884923818678666,1.59%,98.41%
罐子,0.0008144391236647452,7.55%,92.45%
花叶,0.0027772863179117424,0.43%,99.57%
淄博,0.0009775393999815751,1.16%,98.84%
特色,0.0013849022686353019,0.84%,99.16%
淀粉,0.0007320107432632339,1.52%,98.48%
牛肉,0.0018972612533482147,3.59%,96.41%
属性,0.00668436748258594,1.03%,98.97%
语录,0.008521014443772068,0.95%,99.05%
番茄,0.0008561237248450038,2.44%,97.56%
图源,0.0011007456412064354,1.04%,98.96%
排骨,0.0010013683783778315,2.13%,97.87%
盐,0.0009187460493849109,23.12%,76.88%
熊猫,0.010144624093013865,0.36%,99.64%
柚子,0.0016851969598539185,1.92%,98.08%
午餐,0.0009775393999815751,1.16%,98.84%
库存,0.0008055208465296282,1.39%,98.61%
口味,0.0020149813880988576,1.64%,98.36%
海鲜,0.0007810013342171018,1.43%,98.57%
香甜,0.0009775393999815751,1.16%,98.84%
棉花,0.004516082875895777,1.70%,98.30%
韶关,0.0006708733716668247,1.64%,98.36%
市场,0.0007344671329166941,3.90%,96.10%
家常菜,0.0009652327132599892,1.18%,98.82%
克,0.0004330233813079065,35.92%,64.08%
麻薯,0.0004883375751302266,2.17%,97.83%
花花,0.011682312273984863,4.60%,95.40%
收,0.008892943790886565,17.09%,82.91%
糯米,0.0007687474655754256,1.45%,98.55%
小火,0.0005820027755619739,4.69%,95.31%
团子,0.0005447056013569984,3.57%,96.43%
参观,0.00043995918702199877,2.38%,97.62%
早安,0.012226942334200408,1.88%,98.12%
冰箱,0.0007839426624784984,4.65%,95.35%
汤汁,0.0006220555028884078,1.75%,98.25%
美味,0.0032289818392051695,2.00%,98.00%
书店,0.0004520389096424049,2.33%,97.67%
黄油,0.00040378636319726713,2.56%,97.44%
徐州,0.0014844933395460336,2.76%,97.24%
清水,0.0005125820886483501,2.08%,97.92%
肥,0.001965102031936561,20.61%,79.39%
姐弟,0.0011500924073083452,1.00%,99.00%
入口,0.0006279719348115664,3.17%,96.83%
洛阳,0.0003557331831335331,2.86%,97.14%
芋泥,0.0010760853217463007,1.06%,98.94%
调料,0.00039175275501313056,2.63%,97.37%
风景区,0.0005247168511238742,2.04%,97.96%
郑州大学,0.0020149813880988576,1.64%,98.36%
奶猫,0.0008177862842100314,1.37%,98.63%
葡萄酒,9.436544641805433e-06,25.00%,75.00%
罐头,0.0005733318701516277,1.89%,98.11%
蓝莓,0.00042789016573463456,2.44%,97.56%
桂林,0.0003198525503642635,3.12%,96.88%
骨架,0.0008199331802219989,2.53%,97.47%
甜品,0.0024825362624580904,2.15%,97.85%
造型,0.0005855032123947002,1.85%,98.15%
牛排,0.000272276528269777,3.57%,96.43%
出镜,0.0005368595084390693,2.00%,98.00%
江南,0.0009362844537404991,3.19%,96.81%
油管,0.0004520389096424049,2.33%,97.67%
爆浆,0.0004520389096424049,2.33%,97.67%
音乐节,0.0004883375751302266,2.17%,97.83%
大理,0.0009245364170710202,4.08%,95.92%
频道,0.001013503048965303,2.11%,97.89%
素材,0.0003557331831335331,2.86%,97.14%
时尚,0.0005004555474171779,2.13%,97.87%
干饭,0.000964991116559677,2.20%,97.80%
官,0.0010124917802086797,20.27%,79.73%
高温,0.000356947667392693,5.00%,95.00%
娃,0.018739103467708795,2.24%,97.76%
名胜区,0.00042789016573463456,2.44%,97.56%
西装,0.0003801602400158588,4.76%,95.24%
科技,0.0005587369365895878,4.84%,95.16%
小龙虾,0.0004620395495980034,4.08%,95.92%
背影,0.00042789016573463456,2.44%,97.56%
质感,0.00041583236970965665,2.50%,97.50%
睡觉觉,0.00042789016573463456,2.44%,97.56%
调味,0.00045028896293919374,4.17%,95.83%
娃娃,0.007165823125283688,3.33%,96.67%
米粉,0.00042789016573463456,2.44%,97.56%
建筑,0.0008172873796499225,3.57%,96.43%
紫米,0.0005091946518097634,3.77%,96.23%
威海,0.00020899017133602094,7.41%,92.59%
烤肠,0.00014393951149838102,5.88%,94.12%
花生,0.0006464534394408084,1.69%,98.31%
香味,0.001049932573961243,2.04%,97.96%
订单,0.0003198525503642635,3.12%,96.88%
南瓜,0.0002841383077748505,3.45%,96.55%
香菇,0.00041583236970965665,2.50%,97.50%
博物馆,0.000699113955308861,4.05%,95.95%
基地,0.001436417941476087,2.84%,97.16%
包邮,0.0014244088627870521,2.86%,97.14%
黄金,0.00047380602651347914,4.00%,96.00%
布偶,0.0004641288462331472,2.27%,97.73%
星光,0.0003557331831335331,2.86%,97.14%
罐罐,0.0005447056013569984,3.57%,96.43%
肩,0.0004280688110982478,26.98%,73.02%
黄瓜,0.0006399082234346265,3.12%,96.88%
T恤,0.00029602253560290226,3.33%,96.67%
葱花,0.000287929775096174,5.88%,94.12%
人山人海,0.0003557331831335331,2.86%,97.14%
坚果,0.000201684724976392,4.55%,95.45%
猪蹄,0.00022013362968398287,7.14%,92.86%
熊,0.012416065362998552,1.28%,98.72%
新鲜,0.0011198488194962275,10.06%,89.94%
樱桃,0.00040378636319726713,2.56%,97.44%
清香,0.0003797322033609607,2.70%,97.30%
丁,0.0009429871780498589,17.54%,82.46%
探店,0.0004641288462331472,2.27%,97.73%
故宫,0.0003557331831335331,2.86%,97.14%
叶子,0.00227917955725343,3.08%,96.92%
土豆,0.0017015346606032988,2.45%,97.55%
虎,0.0019625297733545377,8.52%,91.48%
丸子,0.0008802796166679228,2.38%,97.62%
春游,0.00029602253560290226,3.33%,96.67%
莆田,4.564761366565584e-05,12.50%,87.50%
粽子,0.00033179578530417864,3.03%,96.97%
种草,0.003839354525041583,0.32%,99.68%
上衣,0.000287929775096174,5.88%,94.12%
珠海,0.00023684333343199082,4.00%,96.00%
樱花,0.0008885985936336604,3.33%,96.67%
岛,0.0032571177724365352,7.73%,92.27%
景点,0.0006638084686613199,3.03%,96.97%
生态,0.0005611672983825144,1.92%,98.08%
冰糖,0.00026043884429338693,3.70%,96.30%
鸡翅,0.0006160452585558529,3.23%,96.77%
鸡蛋,0.002824955820693087,3.47%,96.53%
布丁,0.0005328558599467792,3.64%,96.36%
红糖,0.00033179578530417864,3.03%,96.97%
小奶,0.0008681988751187975,2.41%,97.59%
萌兰,0.0002841383077748505,3.45%,96.55%
烤肉,0.0009243528084471597,3.23%,96.77%
茶,0.0040652395462253965,10.90%,89.10%
摄影,0.0024448315292071587,3.25%,96.75%
颜值,0.0008540747324548015,4.35%,95.65%
葱,0.0021186972905813395,2.46%,97.54%
低价,0.00024256647028297884,6.67%,93.33%
橘猫,0.0002765333247310986,6.06%,93.94%
成团,0.00045028896293919374,4.17%,95.83%
耳,0.00017057374312290374,41.27%,58.73%
泰国,0.0006287001547816695,4.41%,95.59%
香香,0.0005820027755619739,4.69%,95.31%
黄豆,0.0002250898804274648,4.17%,95.83%
气泡,0.00026043884429338693,3.70%,96.30%
青菜,0.0002841383077748505,3.45%,96.55%
小卡,0.00020982971762484315,9.68%,90.32%
小镇,0.00039179962166246973,4.65%,95.35%
营业,0.0012090033539753353,3.94%,96.06%
君,0.003971566453337183,4.06%,95.94%
食,0.02660811566967347,10.80%,89.20%
真题,0.0004620395495980034,4.08%,95.92%
葡萄,0.0005394108461097558,7.25%,92.75%
料,0.0032433001815719287,12.93%,87.07%
影城,0.0002250898804274648,4.17%,95.83%
配色,0.00026043884429338693,3.70%,96.30%
煎蛋,0.000272276528269777,3.57%,96.43%
步行街,0.00026043884429338693,3.70%,96.30%
卫衣,0.00034375633138283845,2.94%,97.06%
时节,0.00036772542132257335,2.78%,97.22%
郑大,0.0003797322033609607,2.70%,97.30%
耶耶,0.00026919706247596764,11.36%,88.64%
手感,0.0002486270932928747,3.85%,96.15%
经典,0.0008885985936336604,3.33%,96.67%
虾,0.0029611840985706017,2.77%,97.23%
丽江,0.0003801602400158588,4.76%,95.24%
烤箱,0.0003801602400158588,4.76%,95.24%
茄子,0.0005684411264161859,3.45%,96.55%
萝卜,0.0015582806955444228,0.75%,99.25%
餐,0.005378400711661735,10.87%,89.13%
衢州,7.707829510827935e-05,9.09%,90.91%
文物,0.000201684724976392,4.55%,95.45%
鱼头,0.0001784372880713203,5.00%,95.00%
家常,0.0014938064175283872,3.31%,96.69%
草莓,0.0013874914447242759,4.08%,95.92%
小猫咪,0.00453240712477565,3.99%,96.01%
饺子,0.00045158397705624687,7.02%,92.98%
森林公园,0.0003557331831335331,2.86%,97.14%
裙,0.0020637205564352223,10.59%,89.41%
海滩,0.00023684333343199082,4.00%,96.00%
蛋白,0.000307974586515658,7.50%,92.50%
女明星,0.0004641288462331472,2.27%,97.73%
艺术,0.001048386531189105,9.27%,90.73%
蒸,0.001504297162569057,5.26%,94.74%
道菜,0.0007117121724203868,2.86%,97.14%
花瓣,0.00015538158883587894,5.56%,94.44%
撸猫,0.0002486270932928747,3.85%,96.15%
时髦,0.0001900393994349603,4.76%,95.24%
小面包,0.00016688292196886945,5.26%,94.74%
繁花,0.00029602253560290226,3.33%,96.67%
沧桑,0.00026043884429338693,3.70%,96.30%
芒果,0.0005305216900151066,6.25%,93.75%
领养,0.00038485832961177024,7.84%,92.16%
云南,0.0012465578978735348,4.44%,95.56%
单词,0.0013484504954346388,5.23%,94.77%
杂志,0.0001677000341475665,11.11%,88.89%
吊带,0.0003079277293980276,3.23%,96.77%
拼车,0.0008300553793119114,1.35%,98.65%
脂餐,0.00029602253560290226,3.33%,96.67%
挪威,0.0001900393994349603,4.76%,95.24%
乡,0.000993714277871427,16.29%,83.71%
王子,0.00029689156438905684,7.69%,92.31%
米线,0.0001784372880713203,5.00%,95.00%
煎饼,0.0002765333247310986,6.06%,93.94%
女神,0.00023684333343199082,4.00%,96.00%
风格,0.0009716744300847235,3.92%,96.08%
镜头,0.0008410270164189715,3.49%,96.51%
小熊,0.000936309230270882,4.04%,95.96%
雪山,0.000397824900813748,6.25%,93.75%
油,0.0029961020068852706,24.98%,75.02%
螺蛳,0.000319094401521669,7.32%,92.68%
吐司,0.00039179962166246973,4.65%,95.35%
套餐,0.00034537673767831567,5.13%,94.87%
西瓜,0.0005210187195524574,3.70%,96.30%
冰激凌,0.00015538158883587894,5.56%,94.44%
韭菜,0.00026043884429338693,3.70%,96.30%
杂粮,0.0001784372880713203,5.00%,95.00%
宋亚轩,0.0001900393994349603,4.76%,95.24%
长安,0.0003079277293980276,3.23%,96.77%
小米,0.0006873502434524559,4.11%,95.89%
蔬菜,0.0005936570507416583,4.62%,95.38%
气质,0.0005760626881431419,5.88%,94.12%
购物中心,0.0003801602400158588,4.76%,95.24%
鸡爪,0.00034537673767831567,5.13%,94.87%
门票,0.0004548480539144917,5.66%,94.34%
香蕉,0.00029935961657168164,5.71%,94.29%
醋,0.000936959316911623,9.02%,90.98%
饮品,0.00032231193689680193,5.41%,94.59%
红薯,0.000213271952317462,11.43%,88.57%
雅思,0.0001327799627189874,10.00%,90.00%
早茶,0.0001784372880713203,5.00%,95.00%
顶流,0.0002250898804274648,4.17%,95.83%
烤鱼,0.00016688292196886945,5.26%,94.74%
盒饭,0.00014393951149838102,5.88%,94.12%
懒人,0.00024256647028297884,6.67%,93.33%
脚兽,0.00023684333343199082,4.00%,96.00%
主子,0.0001784372880713203,5.00%,95.00%
饱腹,0.0001900393994349603,4.76%,95.24%
狗子,0.0015575875368205594,4.68%,95.32%
鸡,0.006775345359405938,9.94%,90.06%
森林,0.0007733638247454655,6.38%,93.62%
饼,0.0029686446081854667,7.89%,92.11%
榴莲,0.0008074095920844737,6.19%,93.81%
历史,0.00096947807530956,8.82%,91.18%
教程,0.0013088711812666576,2.40%,97.60%
崽崽,0.0007958366901935632,2.60%,97.40%
崽,0.0023609106373820854,3.69%,96.31%
小家伙,0.00036854255919693824,4.88%,95.12%
赏花,0.0005328558599467792,3.64%,96.36%
公路,0.0002765333247310986,6.06%,93.94%
新西兰,0.0001325640823636176,6.25%,93.75%
炒面,0.0001900393994349603,4.76%,95.24%
法国,0.00015417485686042287,9.09%,90.91%
克拉玛依,0.00014393951149838102,5.88%,94.12%
君子,7.876118910099539e-05,16.67%,83.33%
毛毛,0.00014056206867285592,16.13%,83.87%
法语,9.893656110326887e-05,7.69%,92.31%
来日方长,0.0001784372880713203,5.00%,95.00%
海报,0.0001325640823636176,6.25%,93.75%
精华,0.00015417485686042287,9.09%,90.91%
